Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Commerce alimentaire (localisation) 2020
100832;null;B203
100833;null;B203
100834;null;B204
100835;null;B206
100836;null;B203
100837;null;B200
100838;null;B200
100839;null;B200
10084;null;B200
100840;null;B200
100841;null;B200
100842;null;B203
100843;null;B203
100844;null;B204
100845;null;B203
100846;null;B100
100847;null;B100
100848;null;B203
100849;null;B203
10085;null;B200
100850;null;B203
100851;null;B200
100852;null;B203
100853;null;B203
100854;null;B204
100855;null;B204
100856;null;B204
100857;null;B200
100858;null;B203
100859;null;B200
10086;null;B200
100860;null;B204
100861;null;B204
100862;null;B203
100863;null;B203
100864;null;B204
100865;null;B200
100866;null;B200
100867;null;B100
100868;null;B203
100869;null;B204
10087;null;B200
100870;null;B200
100871;null;B200
100872;null;B200
100873;null;B204
100874;null;B200
100875;null;B203
100876;null;B204
100877;null;B203
100878;null;B203
100879;null;B200
10088;null;B200
100880;null;B203
100881;null;B203
100882;null;B204
100883;null;B203
100884;null;B203
100885;null;B200
100886;null;B203
100887;null;B200
100888;null;B203
100889;null;B204
10089;null;B200
100890;null;B204
100891;null;B203
100892;null;B204
100893;null;B206
100894;null;B203
100895;null;B200
100896;null;B100
100897;null;B203
100898;null;B203
100899;null;B204
1009;null;B204
10090;null;B200
100900;null;B204
100901;null;B200
100902;null;B200
100903;null;B203
100904;null;B203
100905;null;B204
100906;null;B204
100907;null;B100
100908;null;B203
100909;null;B204
10091;null;B203
100910;null;B203
100911;null;B200
100912;null;B203
100913;null;B200
100914;null;B100
100915;null;B100
100916;null;B100
100917;null;B100
100918;null;B200
100919;null;B200
10092;null;B203
100920;null;B200
100921;null;B200
100922;null;B200
100923;null;B203
100924;null;B203
100925;null;B203
100926;null;B203
100927;null;B203
100928;null;B203
100929;null;B204
10093;null;B203
100930;null;B204
100931;null;B200
100932;null;B203
100933;null;B203
100934;null;B203
100935;null;B203
100936;null;B204
100937;null;B204
100938;null;B200
100939;null;B203
10094;null;B203
100940;null;B204
100941;null;B200
100942;null;B203
100943;null;B200
100944;null;B203
100945;null;B203
100946;null;B203
100947;null;B203
100948;null;B203
100949;null;B203
10095;null;B203
100950;null;B203
100951;null;B203
100952;null;B203
100953;null;B203
100954;null;B203
100955;null;B203
100956;null;B203
100957;null;B204
100958;null;B204
100959;null;B204
10096;null;B203
100960;null;B204
100961;null;B204
100962;null;B204
100963;null;B204
100964;null;B204
100965;null;B204
100966;null;B204
100967;null;B204
100968;null;B204
100969;null;B204
10097;null;B203
100970;null;B204
100971;null;B204
100972;null;B204
100973;null;B200
100974;null;B203
100975;null;B204
100976;null;B204
100977;null;B204
100978;null;B204
100979;null;B204
10098;null;B203
100980;null;B204
100981;null;B204
100982;null;B204
100983;null;B204
100984;null;B204
100985;null;B204
100986;null;B204
100987;null;B204
100988;null;B204
100989;null;B204
10099;null;B203
100990;null;B206
100991;null;B206
100992;null;B206
100993;null;B206
100994;null;B206
100995;null;B100
100996;null;B203
100997;null;B203
100998;null;B203
100999;null;B100
101;null;B203
1010;null;B100
10100;null;B203
101000;null;B100
101001;null;B100
101002;null;B203
101003;null;B203
101004;null;B203
101005;null;B203
101006;null;B203
101007;null;B203
101008;null;B203
101009;null;B204
10101;null;B203
101010;null;B204
101011;null;B204
101012;null;B204
101013;null;B204
101014;null;B200
101015;null;B203
101016;null;B100
101017;null;B200
101018;null;B200
101019;null;B200
10102;null;B203
101020;null;B203
101021;null;B203
101022;null;B203
101023;null;B203
101024;null;B204
101025;null;B200
101026;null;B203
101027;null;B203
101028;null;B204
101029;null;B100
10103;null;B204
101030;null;B100
101031;null;B100
101032;null;B100
